Tweet_ID,entity,Tweet_content,sentiment,pred_sentiment
9608,PlayStation5(PS5),God when 🥺,Negative,Irrelevant
3286,Facebook,Leaked memo excoriates #Facebook’s ‘slapdash and haphazard’ response to global political manipulation dlvr.it/RgbzJD https://t.co/M7JAMQeF7e,Negative,Neutral
3526,Facebook,"Our #HISAPerth #OBIawards ceremony is taking place this Friday 29 May. Celebrating the Outstanding, Best + Inspiring work staff + students within #PerthCollegeUHI have done this year. Streaming LIVE 12 noon Friday @HISAPerth Facebook page. 🏆
#TeamHISA #Awards #IWouldLikeToThank pic.twitter.com/rE3iY9T66p",Neutral,Positive
4094,CS-GO,best of luck !,Positive,Irrelevant
6291,FIFA,#WorldCupAtHome: Five African matches you would love to see from FIFA googlehits.com/worldcupathome… https://t.co/Lvr8g2vhsn,Positive,Neutral
10095,PlayerUnknownsBattlegrounds(PUBG),"#Pubg is no more available on Android Playstore and ios
#pubg_banned",Negative,Positive
800,ApexLegends,"#ModernWarfare sd the best fps out! was in love with #RainbowSixSiege but the toxic community and random operator nerfs based on players ""frustration levels"" lost me, #ApexLegends is dope too tho, #fortnite is cool, pubg made about 100 mil and only added new landing controls gg",Positive,Irrelevant
10212,PlayerUnknownsBattlegrounds(PUBG),"Worst thing about #PUBG banned is that all the players didn’t knew this ban till the App shown error in playing as non of them is in Social Media nor watch any NEWS 🤣🤣

#PUBGMOBILE",Irrelevant,Negative
9666,PlayStation5(PS5),"My main reason for wanting the #PS5 is because the next God of War will eventually be on it. Until I get that announcement, I'll probably be waiting on it. Especially since RE8 will be on PC anyways. :3 Overall I'm excited for the games though! :D",Neutral,Positive
6091,FIFA,So #Maria was playing FIFA today.,Neutral,Positive
13160,Xbox(Xseries),"#XSXFridgeSweeps 
😂 Amazing",Irrelevant,Positive
11363,TomClancysRainbowSix,"#RainbowSixSiege where are hereford, plane, chalet and fortress in casual?! I miss the maps!!!",Positive,Neutral
